Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
35550000,0.8672293,12.4,2934,10,7,30.48,0,99.38505,8.807657,63.52941,9.952653,16.078432,113
35520000,0.8751783,12.5,3035,9,7,43.15,0,99.4642,12.042562,91.37255,14.089797,16.078432,117
30439998,0.87608486,12.5,3087,10,7,5.01,0,99.5546,1.3632654,7.8431373,1.6359185,16.470589,120
35030000,0.88579863,12.6,2966,10,7,36.84,0,99.65294,10.460338,100,12.029388,16.078432,115
35660000,0.8947273,12.7,3078,9,7,53.47,0,99.73068,14.6719265,100,17.459593,16.078432,119
35300000,0.9014532,12.8,3156,10,7,33.06,0,99.83926,8.848445,81.56863,10.795103,16.078432,122
34670000,0.9083823,12.8,3207,9,7,37.95,0,99.94431,9.993417,67.84314,12.391837,16.078432,124
34430000,0.9193658,12.9,3269,9,7,47.92,0,100.08592,12.4185295,89.411766,15.6473465,16.470589,126
34620000,0.92469937,13,3327,9,7,33.64,0,100.194145,8.515108,69.803925,10.984489,16.470589,129
35140000,0.92469937,13.1,3337,9,7,0,0,100.33327,0,55.686275,0,16.470589,129
35290000,0.93048555,13.1,3327,9,7,34.15,0,100.44704,8.644202,59.60784,11.151021,16.470589,129
35230000,0.9384385,13.2,3352,9,7,38.66,0,100.588776,9.710518,60.39216,12.623673,16.862745,130
35170000,0.9474431,13.3,3380,9,7,37.35,0,100.75851,9.309861,71.76471,12.195918,16.862745,131
34580000,0.9535764,13.4,3402,9,7,36.93,0,100.87833,9.135436,65.4902,12.058776,16.862745,132
35330000,0.95953083,13.5,3394,9,7,36.15,0,100.9962,8.942486,51.764706,11.804082,16.862745,132
33099998,0.96443933,13.5,3380,9,7,26.03,0,101.1258,6.488239,18.431372,8.499593,17.254902,131
35440000,0.9699167,13.6,3349,9,7,34.06,0,101.23162,8.555102,65.4902,11.121633,16.862745,130
35410000,0.9781738,13.7,3388,9,7,38.97,0,101.383766,9.713663,70.98039,12.724898,16.862745,131
34670000,0.9834205,13.8,3410,9,7,26.51,0,101.51159,6.5578227,46.666668,8.656326,16.862745,132
31889998,0.9881372,13.8,3351,9,7,29.33,0,101.61466,7.367033,73.72549,9.577143,16.862745,130
31259998,0.99015975,13.9,3329,9,7,12.06,0,101.71775,3.052682,25.882353,3.9379597,16.470589,129
